q_w_int,q_x_int,q_y_int,q_z_int,q_w_fixed,q_x_fixed,q_y_fixed,q_z_fixed
15783,61943,2381,724,0.96331787109375,-0.21929931640625,0.14532470703125,0.044189453125
15781,61951,2396,771,0.96319580078125,-0.21881103515625,0.146240234375,0.04705810546875
15778,61959,2416,817,0.9630126953125,-0.21832275390625,0.1474609375,0.04986572265625
15776,61967,2436,862,0.962890625,-0.21783447265625,0.148681640625,0.0526123046875
15773,61974,2455,906,0.96270751953125,-0.2174072265625,0.14984130859375,0.0552978515625
15771,61981,2471,949,0.96258544921875,-0.21697998046875,0.15081787109375,0.05792236328125
15769,61988,2485,990,0.96246337890625,-0.216552734375,0.15167236328125,0.0604248046875
15767,61992,2498,1027,0.96234130859375,-0.21630859375,0.1524658203125,0.06268310546875
15766,61997,2508,1060,0.9622802734375,-0.21600341796875,0.153076171875,0.064697265625
15765,62001,2515,1089,0.96221923828125,-0.21575927734375,0.15350341796875,0.06646728515625
15765,62005,2518,1115,0.96221923828125,-0.21551513671875,0.1536865234375,0.06805419921875
15766,62009,2516,1137,0.9622802734375,-0.21527099609375,0.153564453125,0.06939697265625
15768,62013,2511,1157,0.96240234375,-0.21502685546875,0.15325927734375,0.07061767578125
15770,62016,2505,1175,0.9625244140625,-0.21484375,0.15289306640625,0.07171630859375
15772,62019,2498,1191,0.962646484375,-0.21466064453125,0.1524658203125,0.07269287109375
15774,62022,2491,1203,0.9627685546875,-0.2144775390625,0.15203857421875,0.07342529296875
15776,62023,2484,1213,0.962890625,-0.21441650390625,0.151611328125,0.07403564453125
15777,62022,2478,1221,0.96295166015625,-0.2144775390625,0.1512451171875,0.07452392578125
15778,62019,2473,1228,0.9630126953125,-0.21466064453125,0.15093994140625,0.074951171875
15779,62018,2471,1232,0.96307373046875,-0.2147216796875,0.15081787109375,0.0751953125
15780,62021,2472,1235,0.963134765625,-0.21453857421875,0.15087890625,0.07537841796875
15781,62026,2476,1238,0.96319580078125,-0.2142333984375,0.151123046875,0.0755615234375
15782,62033,2483,1241,0.9632568359375,-0.21380615234375,0.15155029296875,0.07574462890625
15782,62038,2492,1244,0.9632568359375,-0.2135009765625,0.152099609375,0.075927734375
15781,62042,2501,1246,0.96319580078125,-0.2132568359375,0.15264892578125,0.0760498046875
15780,62045,2511,1248,0.963134765625,-0.21307373046875,0.15325927734375,0.076171875
15779,62048,2521,1249,0.96307373046875,-0.212890625,0.15386962890625,0.07623291015625
15778,62051,2530,1250,0.9630126953125,-0.21270751953125,0.1544189453125,0.0762939453125
15778,62055,2539,1251,0.9630126953125,-0.21246337890625,0.15496826171875,0.07635498046875
15778,62059,2547,1252,0.9630126953125,-0.21221923828125,0.15545654296875,0.076416015625
15778,62062,2553,1253,0.9630126953125,-0.2120361328125,0.15582275390625,0.07647705078125
15778,62065,2557,1254,0.9630126953125,-0.21185302734375,0.15606689453125,0.0765380859375
15779,62068,2558,1255,0.96307373046875,-0.211669921875,0.1561279296875,0.07659912109375
15780,62071,2557,1255,0.963134765625,-0.21148681640625,0.15606689453125,0.07659912109375
15781,62074,2555,1255,0.96319580078125,-0.2113037109375,0.15594482421875,0.07659912109375
15783,62077,2552,1255,0.96331787109375,-0.21112060546875,0.15576171875,0.07659912109375
15785,62080,2548,1255,0.96343994140625,-0.2109375,0.155517578125,0.07659912109375
15787,62083,2544,1255,0.96356201171875,-0.21075439453125,0.1552734375,0.07659912109375
15789,62086,2539,1255,0.96368408203125,-0.2105712890625,0.15496826171875,0.07659912109375
15791,62089,2535,1254,0.96380615234375,-0.21038818359375,0.15472412109375,0.0765380859375
15793,62092,2532,1253,0.96392822265625,-0.210205078125,0.154541015625,0.07647705078125
15794,62095,2530,1253,0.9639892578125,-0.21002197265625,0.1544189453125,0.07647705078125
15795,62098,2529,1253,0.96405029296875,-0.2098388671875,0.15435791015625,0.07647705078125
15796,62101,2529,1253,0.964111328125,-0.20965576171875,0.15435791015625,0.07647705078125
15796,62104,2531,1254,0.964111328125,-0.20947265625,0.15447998046875,0.0765380859375
